uz_tau_neg_0pt10,,uz_tau_0pt10,,uz_tau_0pt16,,uz_tau_0pt34,,uz_tau_0pt56,
X,Y,X,Y,X,Y,X,Y,X,Y
-17.891166983341442,92.09681711730892,-24.7037249790111,78.732701724505,-17.501877955017463,66.7753353204173,-17.501877955017463,63.25846284862678,-23.73050240820114,59.03821588247814
-16.13936635588353,83.6563231850117,-22.95192435155319,75.91920374707263,-13.998276700101634,44.97072599531617,-15.750077327559552,56.22471790504579,-21.97870178074323,47.08084947839046
-12.635765100967703,82.24957419629553,-21.200123724095278,75.21582925271449,-8.742874817727902,36.53023206301896,-13.998276700101634,52.70784543325527,-20.22690115328532,49.89434745582287
-9.132163846051874,87.87657015116034,-19.44832309663736,57.631466893762024,-5.23927356281208,18.94586970406641,-10.494675445185813,51.3010964445391,-18.280456011665414,48.487598467106636
-5.4339180769740665,76.62257824143072,-17.69652246917945,49.89434745582287,-1.5410277937342656,20.35261869278264,-8.742874817727902,47.08084947839046,-16.528655384207504,38.6403555460933
-1.9303168220582378,85.76644666808602,-15.944721841721538,48.487598467106636,0.2107728337236452,46.37747498403235,-6.991074190269991,32.30998509687038,-14.776854756749593,33.013359591228436
10.52693208430913,73.1057057696402,-13.998276700101634,47.78422397274858,1.962573461181556,21.055993187140757,-3.2928284211921763,16.83574622099212,-13.025054129291682,27.386363636363626
14.030533339224952,83.6563231850117,-12.246476072643723,39.34373004045136,3.7143740886394667,28.08973813072174,-1.5410277937342656,20.35261869278264,-11.273253501833771,28.08973813072174
15.782333966682863,85.0630721737279,-10.494675445185813,40.75047902916759,5.466174716097392,33.71673408558655,1.962573461181556,18.94586970406641,-9.52145287437586,19.649244198424526
,,-8.742874817727902,32.30998509687038,7.2179753435553025,33.013359591228436,3.7143740886394667,13.3188737492016,-2.3196058503822243,3.4716308281882675
,,-6.991074190269991,32.30998509687038,9.164420485175192,40.04710453480942,5.466174716097392,18.94586970406641,2.935796031991508,15.42899723227589
,,-5.23927356281208,45.67410048967429,10.916221112633103,44.97072599531617,7.2179753435553025,27.386363636363626,4.687596659449419,11.912124760485426
,,-3.4874729353541696,21.759367681498816,12.668021740091014,44.26735150095806,9.164420485175192,32.30998509687038,6.4393972869073295,18.94586970406641
,,-1.5410277937342656,33.71673408558655,14.419822367548925,55.52134341068768,10.916221112633103,33.71673408558655,8.385842428527233,18.94586970406641
,,3.7143740886394667,32.30998509687038,16.171622995006835,63.96183734298489,12.668021740091014,35.12348307430278,,
,,5.466174716097392,42.86060251224188,,,14.225177853386946,44.26735150095806,,
,,,,,,16.171622995006835,52.00447093889716,,
